"Cuba"
"Youth unemployment rate (% of labour force ages 15-24)","6.1"
"Homicide rate (per 100,000 people)","4.2"
"Birth registration (% under age five)","100"
"Homeless people due to natural disaster (average annual per million people)","665.9"
"Old age pension recipients (% of statutory pension age population)","n.a."
"Prison population (per 100,000 people)","510"
"Refugees by country of origin (thousands)","6.5"
"Suicide rate, female (per 100,000 people)","4.5"
"Suicide rate, male (per 100,000 people)","18.5"
"Violence against women ever experienced (%)","n.a."
"Exports and Imports (% of GDP)","39.1"
"Foreign direct investment, net inflows (% of GDP)","n.a."
"Net official development assistance received (% of GNI)","0.1"
"Private capital flows (% of GDP)","n.a."
"Remittances, inflows (% of GDP)","n.a."
"Mobile phone subscriptions (per 100 people)","22.5"
"International inbound tourists (thousands)","2,829"
"International student mobility (% of total tertiary enrolment)","4.1"
"Internet users (% of population)","30"
"Net migration rate (per 1,000 people)","-2.5"
"Carbon dioxide emissions per capita (tonnes)","3.2"
"Electrification rate, rural (% of rural population)","95.4"
"Forest area (% of total land area)","27.6"
"Fresh water withdrawals (% of total renewable water resources)","18.3"
"Impact of natural disasters, population affected (average annual per million people)","30,624.4"
"Natural resource depletion (% of GNI)","3.6"
"Population living on degraded land (%)","17"
"Primary energy supply, fossil fuels (% of total)","86.7"
"Population, total (millions)","11.3"
"Dependency ratio, old age (65 and older) (per 100 people ages 15-64)","19.9"
"Dependency ratio, young age (0-14) (per 100 people ages 15-64)","22.1"
"Population, ages 65 and older (millions)","1.5"
"Median age (years)","41.3"
"Population, under age 5 (millions)","0.5"
"Population, urban (%)","75.1"
"Sex ratio at birth (male to female births)","1.06"
